name,borough,names
Bartow-Pell Mansion,Bronx,thomas pell
Bartow-Pell Mansion,Bronx,richard nichols
Bartow-Pell Mansion,Bronx,john pell
Bartow-Pell Mansion,Bronx,robert bartow
Bartow-Pell Mansion,Bronx,fiorello h laguardia
E.M.T. Christopher J. Prescott Playground,Staten_Island,christopher j prescott
Captain Roald Amundsen Plaza,Staten_Island,robert falcon scott
Captain Roald Amundsen Plaza,Staten_Island,roald engelbregt gravning amundsen
Captain Roald Amundsen Plaza,Staten_Island,umberto nobile
Leonard Triangle,Staten_Island,michael j leonard
Leonard Triangle,Staten_Island,roderick cameron
Graniteville Park,Staten_Island,jennifer schweiger
Graniteville Park,Staten_Island,molinari
General Douglas Macarthur Park,Staten_Island,dwight d eisenhower
General Douglas Macarthur Park,Staten_Island,john f kennedy
General Douglas Macarthur Park,Staten_Island,douglas macarthur
General Douglas Macarthur Park,Staten_Island,herbert hoover
General Douglas Macarthur Park,Staten_Island,harry s truman
General Douglas Macarthur Park,Staten_Island,charles w berry
General Douglas Macarthur Park,Staten_Island,franklin delano roosevelt
Gerard P. Dugan Playground,Staten_Island,robert moses
Gerard P. Dugan Playground,Staten_Island,abraham d beame
Gerard P. Dugan Playground,Staten_Island,molinari
Gerard P. Dugan Playground,Staten_Island,anthony r gaeta
Gerard P. Dugan Playground,Staten_Island,gerard p dugan
Joseph H. Lyons Pool,Staten_Island,gilmore d clarke
Joseph H. Lyons Pool,Staten_Island,joseph h lyons
Joseph H. Lyons Pool,Staten_Island,la guardia
Joseph H. Lyons Pool,Staten_Island,joseph l hautman
Joseph H. Lyons Pool,Staten_Island,daniel d tompkins
Joseph H. Lyons Pool,Staten_Island,aymar embury ii
William E. Kelly Park,Brooklyn,woodrow wilson
William E. Kelly Park,Brooklyn,edna flannery kelly
William E. Kelly Park,Brooklyn,robert moses
William E. Kelly Park,Brooklyn,andrew l somers
William E. Kelly Park,Brooklyn,alfred e smith
William E. Kelly Park,Brooklyn,edna kelly
William E. Kelly Park,Brooklyn,. anderson
William E. Kelly Park,Brooklyn,anthony weiner
William E. Kelly Park,Brooklyn,william e kelly
William E. Kelly Park,Brooklyn,edward l kelly
William E. Kelly Park,Brooklyn,james j walker
Alice Austen House and Park,Staten_Island,john haggerty austen
