name,borough,names,location,latitude,longitude,combined
Gerard P. Dugan Playground,Staten_Island,robert moses,,40.56133112,-74.11072016,"Gerard P. Dugan Playground, Staten_Island"
William E. Kelly Park,Brooklyn,robert moses,,40.60372937,-73.95767373,"William E. Kelly Park, Brooklyn"
Brooklyn Heights Promenade,Brooklyn,robert moses,"Brooklyn Heights Promenade, Clark Street, Brooklyn, Kings County, City of New York, New York, 11201, United States",40.6973713,-73.99738715,"Brooklyn Heights Promenade, Brooklyn"
Canarsie Park,Brooklyn,robert moses,"Canarsie Park, Kings County, City of New York, New York, United States",40.62733225,-73.89528207,"Canarsie Park, Brooklyn"
Brighton Playground,Brooklyn,robert moses,"Brighton Playground, Brooklyn, Kings County, City of New York, New York, 11235, United States",40.57509785,-73.96540368,"Brighton Playground, Brooklyn"
Sledge Playground,Brooklyn,robert moses,"Sledge Playground, Brooklyn, Kings County, City of New York, New York, 11236, United States",40.6380556,-73.8977778,"Sledge Playground, Brooklyn"
Washington Hall Park,Brooklyn,robert moses,"Washington Hall Park, Brooklyn, Kings County, City of New York, New York, United States",40.6953484,-73.96677662,"Washington Hall Park, Brooklyn"
Coney Island,Brooklyn,robert moses,"Coney Island, Kings County, City of New York, New York, 11224, United States",40.57580705,-73.99217527,"Coney Island, Brooklyn"
Joseph F. Mafera Park,Queens,robert moses,"Joseph F. Mafera Park, Ridgewood, Queens County, City of New York, New York, United States",40.70672855,-73.89133478,"Joseph F. Mafera Park, Queens"
Raymond M. O&rsquo;Connor Field,Queens,robert moses,,40.77178476,-73.77936308,"Raymond M. O&rsquo;Connor Field, Queens"
St. Mary&rsquo;s Park,Bronx,robert moses,,40.81181988,-73.91201357,"St. Mary&rsquo;s Park, Bronx"
Henry Hudson Park,Bronx,robert moses,"Henry Hudson Park, Bronx County, City of New York, New York, The Bronx",40.88098475,-73.92093272,"Henry Hudson Park, Bronx"
Vincent Ciccarone Playground,Bronx,robert moses,"Vincent Ciccarone Playground, Hughes Avenue, Belmont, Bronx County, The Bronx, City of New York, New York, 10458, United States",40.856009,-73.8864554,"Vincent Ciccarone Playground, Bronx"
Ranaqua,Bronx,robert moses,"Ranaqua, 1, Bronx River Parkway, Van Nest, Bronx County, The Bronx, City of New York, New York, 10462, United States",40.8471146,-73.87033764,"Ranaqua, Bronx"
Soundview Park,Bronx,robert moses,"Soundview Street, Park of Edgewater, Bronx County, City of New York, New York, 10465, The Bronx",40.823111,-73.8067695,"Soundview Park, Bronx"
Spuyten Duyvil Shorefront Park,Bronx,robert moses,"Spuyten Duyvil Shorefront Park, Bronx County, City of New York, New York, The Bronx",40.8789312,-73.92092327,"Spuyten Duyvil Shorefront Park, Bronx"
24 Sycamores Playground,Manhattan,robert moses,,40.75956835,-73.9587336,"24 Sycamores Playground, Manhattan"
Watson Gleason Playground,Bronx,robert moses,"Watson Gleason Playground, Bronx County, City of New York, New York, United States",40.82843375,-73.86895895,"Watson Gleason Playground, Bronx"
Williamsbridge Oval Playground,Bronx,robert moses,,40.87874087,-73.87698441,"Williamsbridge Oval Playground, Bronx"
Alice Kornegay Triangle,Manhattan,robert moses,"Alice Kornegay Triangle, Manhattan Community Board 11, Manhattan, New York County, City of New York, New York, United States",40.8064117,-73.93534236,"Alice Kornegay Triangle, Manhattan"
Vincent F. Albano Jr. Playground,Manhattan,robert moses,"Vincent F. Albano Jr. Playground, Kips Bay, Manhattan, New York County, City of New York, New York, United States",40.7419443,-73.97838491,"Vincent F. Albano Jr. Playground, Manhattan"
Alice in Wonderland Monument,Manhattan,robert moses,,40.77521482,-73.96649176,"Alice in Wonderland Monument, Manhattan"
Bowling Green,Manhattan,robert moses,"Bowling Green, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, United States",40.70504105,-74.01364825,"Bowling Green, Manhattan"
The Casino and Rumsey Playfield,Manhattan,robert moses,,40.77273579,-73.97020359,"The Casino and Rumsey Playfield, Manhattan"
Corporal John A. Seravalli Playground,Manhattan,robert moses,"Corporal John A. Seravalli Playground, West Village, Manhattan, New York County, City of New York, New York, United States",40.73903715,-74.00480494,"Corporal John A. Seravalli Playground, Manhattan"
John Golden Park,Queens,robert moses,"John Golden Park, Bayside, Queens County, City of New York, New York, United States",40.77420815,-73.76822495,"John Golden Park, Queens"
Underhill Playground,Queens,robert moses,,40.67676675,-73.96583272,"Underhill Playground, Queens"
Governor Alfred E. Smith Park,Manhattan,robert moses,,40.71120641,-73.99732848,"Governor Alfred E. Smith Park, Manhattan"
The Great Lawn,Manhattan,robert moses,"The Great Lawn, Manhattan, New York County, City of New York, New York, United States",40.78133715,-73.96657238,"The Great Lawn, Manhattan"
Isham Park,Manhattan,robert moses,"Isham Park, Inwood, Manhattan, New York County, City of New York, New York, United States",40.8696247,-73.91927065,"Isham Park, Manhattan"
John Jay Park,Manhattan,robert moses,"John Jay Park, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, United States",40.76926285,-73.94954032,"John Jay Park, Manhattan"
William McCray Playground,Manhattan,robert moses,,40.81568206,-73.937894,"William McCray Playground, Manhattan"
